object		RAhms		DECdms		z	M1450	NIR_opt		
PSOJ011+09	00:45:33.566	+09:01:56.93	6.4693	-26.85	X-Shooter	
PSOJ036+03	02:26:01.873	+03:02:59.24	6.5412	-27.28	X-Shooter	
PSOJ065-26	04:21:38.050	-26:57:15.72	6.1877	-27.25	X-Shooter	
J0842+1218	08:42:29.438	+12:18:50.47	6.0763	-26.91	X-Shooter	
PSOJ158-14	10:34:46.509	-14:25:15.86	6.0681	-27.41	X_Shooter	
PSOJ159-02	10:36:54.190	-02:32:37.940	6.3809	-26.59	X_Shooter
SDSSJ1143+3808	11:43:38.347	+38:08:28.823	5.8367	-26.69	DEIMOS		
J1306+0356	13:06:08.259	+03:56:26.19	6.0337	-26.81	X-Shooter	
J1319+0950	13:19:11.291	+09:50:51.49	6.1330	-26.88	X-Shooter	
J1335+3533	13:35:50.81	+35:33:15.82	5.9012	-26.67	DEIMOS		
PSOJ217-16	14:28:21.371	-16:02:43.73	6.1498	-26.93	FIRE		
J1509-1749	15:09:41.781	-17:49:26.68	6.1225	-27.14	X-Shooter	
PSOJ231-20	15:26:37.844	-20:50:00.879	6.5864	-27.20	X-Shooter	
P323+12		21:32:33.178	+12:17:55.07	6.5872	-27.06	X-Shooter,DEIMOS	
PSOJ359-06	23:56:32.452	-06:22:59.31	6.1719	-26.79	X_Shooter	
